time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Mon Sep 03 00:00:00 UTC 2012,0,0,0,1605,67,Nightlife Spots=25_Arts & Entertainment=11_Travel & Transport=11_Food=9_Outdoors & Recreation=5_Residences=4_Bus Stations=3_Music Venues=2_Professional & Other Places=1_Movie Theaters=1_Medical Centers=1_Shops & Services=1_Hotels=1,Bar=11,Best Buy Theater=2_Electric Zoo 2012=2_Lolita=2_Lavo Restaurant and Nightclub=2_Dunkin' Donuts=2_Lucky Jack's=1_5 Ninth=1_Central Lounge=1_IFC Center=1_Manhattan Place=1_Jefferson Starrship=1_The Milford NYC=1_Ink48 Hotel=1_Pianos=1_NYHQ-EMERGENCY DEPT.=1_Mad Donkey Beer Bar & Grill=1_Mi Casa=1_Beekman Beer Garden=1_Five Guys Burgers and Fries=1_Home Sweet Home=1_Karaoke Wow!=1_Megabus Bus Stop=1_Gypsy Cab=1_King LuLu=1_Ace Hotel Lobby & Bar=1_Central Park South @ c/o E. 59th Street & 5th Ave=1_Port Authority Bus Terminal=1_Applebee's Neighborhood Grill & Bar=1_20/20 Deli & Grocery=1_Marriott Marquis Hotel=1_Throgs Neck Bridge=1_South Ozone Park=1_Rockaway Blvd=1_Otis Damo'n Design Studio=1_Le Poisson Rouge=1_The Terrace at Yotel=1_Mickey Spillane's=1_Chinatown Fair=1_Queens=1_Fire Pit in South Ozone Park=1_Party Expo=1_Lucky 7's=1_RdV=1_The Dog House=1_Crif Dogs=1_Casa Mezcal=1_The Tender Trap=1_Frying Pan=1_Down the Hatch=1_Webster Hall=1_Electric Room=1_Traffic Bar & Restaurant=1_Le Souk Harem=1_BXL Cafe=1_Suite 55=1_New York=1_1 Oak=1_MTA Bus S78=1_Sutter Ave=1_Sutra Lounge=1_Casa de Ali Cole=1_Turtle Bay Grill & Lounge=1
Mon Sep 03 00:30:00 UTC 2012,0,0,30,1417,48,Nightlife Spots=17_Outdoors & Recreation=7_Arts & Entertainment=7_Food=6_Travel & Transport=4_Stadiums=3_Residences=3_Colleges & Universities=2_Movie Theaters=1_Music Venues=1,Bar=6,"2012 US Open Tennis Championships=3_Pacha NYC=2_Le Souk Harem=2_Lavender Hill=2_Chinatown=2_IFC Center=1_Hotel Carter=1_Le Baron=1_Sway=1_McGee's Pub=1_Healys Pub=1_Nowhere=1_West Village, NY=1_Cooper's Craft and Kitchen=1_Dive Bar=1_The Abbey=1_The Chicken Coop=1_Fashion Institute of Technology=1_Basile's Pizza=1_One Republik=1_White Star Bar=1_Griffin=1_Roseland Ballroom=1_Æson's Garden=1_Marble Hill (Bronx / Manhattan, NY)=1_Ruggles Residence Hall - Columbia University=1_T.G.I. Friday's=1_The Dubliner=1_Yola's Cafe=1_Le Poisson Rouge=1_Lefrak City (Canada Building)=1_San Loco=1_Penn Station Track 20-21=1_Sheraton Meadowlands Hotel & Conference Center=1_The Romero Household=1_33rd St PATH Station=1_The Spotted Pig=1_St. Mark's Place=1_Brooklyn Bowl=1_Times Square=1_Great N.Y. Noodletown=1_Beauty Bar=1"
Mon Sep 03 01:00:00 UTC 2012,0,1,60,1609,59,Nightlife Spots=22_Food=12_Arts & Entertainment=10_Travel & Transport=7_Shops & Services=3_Hotels=3_Residences=3_Colleges & Universities=2_Stadiums=2_Professional & Other Places=1_Outdoors & Recreation=1,Bar=12,"Glen Island Harbour Club=3_Roseland Ballroom=2_Caffe Cafe=2_Best Buy Theater=2_Glen Island Harbor Club=2_Bronx Park Hotel=2_Arthur Ashe Stadium - USTA Billie Jean King National Tennis Center=2_Highline Ballroom=1_Josie's=1_The Brooklyn Inn=1_An Beal Bocht Cafe=1_GaGoPa Karaoke - 가고파 노래방=1_Maru=1_Resorts World New York=1_Village Cigars=1_Apothéke=1_Emmett O'Lunney's Irish Pub=1_Chinatown=1_Loop Lounge=1_7-Eleven=1_Doob's House=1_Le Baron=1_Lucky Jack's=1_Miller's Tavern=1_The Pony Bar=1_Big Six Towers building #4=1_El Tequilazo=1_Hilton New York=1_Pacha NYC=1_The Library=1_Bembe=1_Double Wide Bar & Southern Grill=1_55 John Street=1_Soel Lounge & Bar=1_Rebel NYC=1_Fordham University - Rose Hill=1_149th Street / Grand Concourse (Bronx, NY)=1_Skyview Motel=1_Am/pm=1_Wharf Bar & Grill=1_El Rey Del Taco Truck=1_Alfie's Bar & Kitchen=1_FAO Schwarz=1_Peter Dillon's=1_Grand Central Terminal=1_Umbrella Lounge=1_Park Central New York=1_Neverland (2nd Star To The Right, & Straight On Till Morning)=1_Taco Bell=1_The Scratcher=1_NBC Experience Store=1"
Mon Sep 03 01:30:00 UTC 2012,0,1,90,1451,43,Nightlife Spots=17_Travel & Transport=7_Food=6_Outdoors & Recreation=4_Residences=4_Arts & Entertainment=3_Museums=1_Shops & Services=1,Bar=6,"Roseland Ballroom=2_New York Penn Station=2_XL Nightclub=2_Home Sweet Home (until AtL)=1_Metropolitan Museum of Art=1_Franklin Park=1_Randall's Island=1_Fred's at Barneys New York=1_Sway=1_Throggs Neck 10465=1_House O' Huxley=1_Metropolitan=1_Chinatown=1_Motor City Bar=1_West Village, NY=1_Dunkin' Donuts=1_Los Feliz=1_NJT - Garfield Station (MBPJ)=1_MTA Subway - Astoria/Ditmars Blvd (N/Q)=1_Experimental Cocktail Club=1_St. Mark's Ale House=1_2 Gold Street Apartments=1_System Dance Club=1_W.i.P.=1_McDonald's=1_Club Quarters Midtown=1_The Shannon=1_Grove Street PATH Station=1_Grande Saloon=1_Funkbox=1_P.J. Clarke's=1_Ritz Bar and Lounge=1_Union Pool=1_My Casa=1_Pita hot=1_Greenhouse=1_The Penrose=1_Times Square=1_Amazura=1_Apple Store=1"
Mon Sep 03 02:00:00 UTC 2012,0,2,120,1138,43,Nightlife Spots=23_Food=9_Residences=4_Arts & Entertainment=2_Travel & Transport=2_Professional & Other Places=1_Colleges & Universities=1,Bar=8,"Alex & Amanda's Palace=2_Grassroots Tavern=1_Hotel Gansevoort=1_Roseland Ballroom=1_Fifth Avenue Diner=1_Veranda=1_Empanada Mama=1_Homewood Suites=1_Whiskey Park=1_Kenedy Fried Chicken=1_Metropolitan=1_Sugarland Bar=1_The Garden at Studio Square=1_The Underground Lounge=1_Ryan Maguire's Ale House=1_Boiler Room=1_El Morocco=1_Club Crystal=1_Harefield Road=1_System Dance Club=1_Wo Hop Restaurant=1_Artichoke Basille's Pizza & Bar=1_Dempsey's=1_Tonic East=1_Katra Lounge=1_Hotel Chantelle=1_Madison Game=1_Secret Ninja Hideout=1_The Ritz-Carlton New York, Central Park=1_Nobu Fifty Seven=1_Platinum Dollz=1_Ritz Bar and Lounge=1_The Bronasium=1_Le Souk Harem=1_3 Sheets Saloon=1_Dingo's Den=1_Great N.Y. Noodletown=1_Best Buy Theater=1_Mercer=1_Pommes Frites=1_Market Diner=1_Amazura=1"
Mon Sep 03 02:30:00 UTC 2012,0,2,150,935,21,Food=5_Nightlife Spots=5_Outdoors & Recreation=3_Arts & Entertainment=2_Travel & Transport=2_Shops & Services=1_Residences=1_Stadiums=1_Clothing Stores=1,Neighborhood=2,TriBeCa=1_DKNY Store=1_La Casa De Lopez=1_Arthur Ashe Stadium - USTA Billie Jean King National Tennis Center=1_Boiler Room=1_Crimson=1_L'appartamento Cimato=1_Rockefeller Center=1_Hilton New York=1_Olympic Diner=1_Orion Diner & Grill=1_Employees Only=1_Port Authority Bus Terminal=1_Riviera=1_Gray's Papaya=1_Park Slope=1_Slane=1_Don Peppe Italian Restaurant=1_Taj II Lounge=1_Best Buy Theater=1_Econo Lodge=1
Mon Sep 03 03:00:00 UTC 2012,0,3,180,740,31,Residences=7_Professional & Other Places=6_Shops & Services=6_Nightlife Spots=5_Food=4_Travel & Transport=2_Outdoors & Recreation=1_Food & Drink Shops=1_Beaches=1_Medical Centers=1_Offices=1_Hotels=1,Home (private)=5,Apple Store=2_LA ESTRELLA=1_Webster Gourmet Deli=1_Yo Olde Homestead=1_Two Little Red Hens=1_Home-Grandma=1_PS 450=1_Port Liberte=1_Omonia Cafe=1_Rite Aid=1_Hole in The Ground=1_Fairway Market=1_Hephaistos Building Supplies=1_My Place  Where Dogs Rule=1_Kinfolk Studios=1_Home Sweet Funeral Home=1_Times Square Dream Hostel=1_Bronx Lebanon Hospital=1_The PartyLikeaRAWKstar House=1_LIRR - Mets-Willets Point Station=1_Lavo Restaurant and Nightclub=1_City Swiggers=1_J. No Lounge=1_24x24.org New York Offices=1_Lenox Terrace - The Americana=1_Http://www.TheArtofActiveNetworking.com=1_Industry Bar=1_Home Sweet Home=1_1 Oak=1_Http://www.BrainfoodCreativePrograms.com=1
Mon Sep 03 03:30:00 UTC 2012,0,3,210,570,18,Nightlife Spots=6_Food=4_Residences=3_Shops & Services=2_Outdoors & Recreation=1_Travel & Transport=1_Clothing Stores=1,Diner=2_Deli / Bodega=2_Residential Building (Apartment / Condo)=2_Bar=2_Nightclub=2,Dalaga NYC=1_J'Ouvert=1_Our Apt In Chinatown=1_Bread & Butter=1_Carlo's House=1_Alligator Lounge=1_The Boxcar Lounge=1_Hair & Spa Party 24 Hours=1_Kellogg's Diner=1_LaGuardia Airport (LGA)=1_33-45 The Coverley=1_Pacha NYC=1_System Dance Club=1_Bar 9=1_Rudy's Bar & Grill=1_The Flame Restaurant=1_Eastside Grocery=1_Times Square=1
Mon Sep 03 04:00:00 UTC 2012,0,4,240,478,12,Residences=3_Food=3_Nightlife Spots=2_Travel & Transport=2_Beaches=1_Airports=1_Arts & Entertainment=1_Outdoors & Recreation=1,Residential Building (Apartment / Condo)=2,WXOU Radio Bar=1_Chelsea Square Restaurant=1_Bay Parkway Water Front=1_Carlo's House=1_Almond=1_Isengard=1_Terminal 4=1_Annies X  Slumzzz=1_Le Souk Harem=1_John F. Kennedy International Airport (JFK)=1_Taïm=1_Bamboo lounge=1
Mon Sep 03 04:30:00 UTC 2012,0,4,270,303,12,Food=3_Professional & Other Places=2_Shops & Services=2_Outdoors & Recreation=1_Gyms or Fitness Centers=1_Arts & Entertainment=1_Nightlife Spots=1_Residences=1,Office=2,J'Ouvert=1_The FADER=1_Hoodwork Studio=1_Henry Hudson Bridge=1_Tette Night Club=1_Jogging Tracks=1_DKC Public Relations=1_Church Ave=1_The Halal Guys=1_Pabz Pad=1_Ray's Pizza=1_El Viejo Jobo=1
Mon Sep 03 05:00:00 UTC 2012,0,5,300,266,11,Residences=2_Professional & Other Places=2_Arts & Entertainment=2_Food=2_Nightlife Spots=1_Outdoors & Recreation=1,Building=2,Department of Sanitation Bx 7 Garage=2_Rockefeller Center=1_NYC Department of Sanitation=1_Pakistan=1_NBC Studio 1A - Today Show=1_Hampton Gourmet Deli=1_Euro Lounge=1_Chip's Home@ 555 W 23rd=1_Lucky Zhang's Family II Corp=1_Belmont Park Racetrack=1
Mon Sep 03 05:30:00 UTC 2012,0,5,330,305,15,Travel & Transport=7_Food=5_Airports=2_Outdoors & Recreation=1_Professional & Other Places=1_Arts & Entertainment=1_Stadiums=1,Airport=3,LaGuardia Airport (LGA)=2_JFK Jet Blue Airlines=1_La Nueva Flor de Broadway=1_Wo Hop Restaurant=1_McDonald's=1_MTA Subway - 137th St/City College (1)=1_Bread & Butter=1_Starbucks=1_Canarsie Brooklyn=1_2012 US Open Tennis Championships=1_One Liberty Plaza=1_John F. Kennedy International Airport (JFK)=1_MTA Subway - 18th Ave (D)=1_Gate 6=1
Mon Sep 03 06:00:00 UTC 2012,0,6,360,241,10,Travel & Transport=5_Gyms or Fitness Centers=2_Shops & Services=2_Professional & Other Places=1_Arts & Entertainment=1,Airport=3,NBC Studio 1A - Today Show=1_Planet Fitness=1_Newark Liberty International Airport (EWR)=1_New York Penn Station=1_LA Fitness=1_World Trade Center PATH Station=1_JetBlue Baggage Claim=1_chillys palace of pleasure=1_John F. Kennedy International Airport (JFK)=1_30 Rockefeller Plaza=1
