time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Mon Sep 03 00:00:00 UTC 2012,0,0,0,23,0,"","",""
Mon Sep 03 00:30:00 UTC 2012,0,0,30,15,0,"","",""
Mon Sep 03 01:00:00 UTC 2012,0,1,60,14,0,"","",""
Mon Sep 03 01:30:00 UTC 2012,0,1,90,1,0,"","",""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,4,0,"","",""
Mon Sep 03 02:30:00 UTC 2012,0,2,150,1,0,"","",""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,3,0,"","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,2,0,"","",""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,6,0,"","",""
Mon Sep 03 04:30:00 UTC 2012,0,4,270,6,0,"","",""
Mon Sep 03 05:00:00 UTC 2012,0,5,300,3,0,"","",""
Mon Sep 03 05:30:00 UTC 2012,0,5,330,4,0,"","",""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,7,0,"","",""
Mon Sep 03 06:30:00 UTC 2012,0,6,390,5,0,"","",""
Mon Sep 03 07:00:00 UTC 2012,0,7,420,8,1,Medical Centers=1_Professional & Other Places=1,Emergency Room=1,Stanford Hospital Emergency Department=1
Mon Sep 03 07:30:00 UTC 2012,0,7,450,18,2,Professional & Other Places=1_Food=1,Building=1_Fast Food Restaurant=1,Facebook=1_McDonald's=1
Mon Sep 03 08:00:00 UTC 2012,0,8,480,31,1,Food=1,Coffee Shop=1,Starbucks=1
Mon Sep 03 08:30:00 UTC 2012,0,8,510,6,1,Shops & Services=1,Electronics Store=1,Microsoft Store=1
Mon Sep 03 09:00:00 UTC 2012,0,9,540,10,1,Shops & Services=1,Gym / Fitness Center=1,Core Studio=1
Mon Sep 03 09:30:00 UTC 2012,0,9,570,11,0,"","",""
Mon Sep 03 10:00:00 UTC 2012,0,10,600,18,1,Professional & Other Places=1,Office=1,AOL West Coast=1
Mon Sep 03 10:30:00 UTC 2012,0,10,630,14,2,Shops & Services=1_Food & Drink Shops=1_Offices=1_Professional & Other Places=1,Tech Startup=1_Grocery Store=1,Mixbook HQ=1_Trader Joe's=1
Mon Sep 03 11:00:00 UTC 2012,0,11,660,20,2,Outdoors & Recreation=1_Shops & Services=2,Harbor / Marina=1_Electronics Store=1_Mobile Phone Shop=1,AT&T=1_Shoreline Park & Lake=1
Mon Sep 03 11:30:00 UTC 2012,0,11,690,7,0,"","",""
Mon Sep 03 12:00:00 UTC 2012,0,12,720,27,3,Residences=1_Food=2,Home (private)=1_Coffee Shop=1_American Restaurant=1,Starbucks=1_Max's Restaurant=1_Casa de Duncaloo=1
Mon Sep 03 12:30:00 UTC 2012,0,12,750,11,1,Food=1,American Restaurant=1,Madera=1
